Start date;End date;Germany/Luxembourg [€/MWh] Original resolutions;∅ DE/LU neighbours [€/MWh] Original resolutions;Belgium [€/MWh] Original resolutions;Denmark 1 [€/MWh] Original resolutions;Denmark 2 [€/MWh] Original resolutions;France [€/MWh] Original resolutions;Netherlands [€/MWh] Original resolutions;Norway 2 [€/MWh] Original resolutions;Austria [€/MWh] Original resolutions;Poland [€/MWh] Original resolutions;Sweden 4 [€/MWh] Original resolutions;Switzerland [€/MWh] Original resolutions;Czech Republic [€/MWh] Original resolutions;DE/AT/LU [€/MWh] Original resolutions;Northern Italy [€/MWh] Calculated resolutions;Slovenia [€/MWh] Original resolutions;Hungary [€/MWh] Original resolutions
Apr 14, 2025 12:00 AM;Apr 14, 2025 1:00 AM;87.56;69.75;76.75;81.61;81.61;39.23;81.61;49.13;91.61;89.52;4.29;81.95;89.92;-;93.00;93.00;91.42
Apr 14, 2025 1:00 AM;Apr 14, 2025 2:00 AM;82.69;66.74;74.42;77.99;77.99;38.16;77.99;49.24;87.04;84.47;1.22;80.87;84.78;-;87.77;87.77;86.23
Apr 14, 2025 2:00 AM;Apr 14, 2025 3:00 AM;82.11;66.39;74.54;77.51;77.51;37.74;77.51;49.38;86.27;83.81;1.04;80.90;84.10;-;86.97;86.97;85.49
Apr 14, 2025 3:00 AM;Apr 14, 2025 4:00 AM;82.29;67.77;74.57;82.29;82.29;35.00;77.55;49.25;86.63;89.45;3.40;80.63;84.37;-;86.92;87.37;85.82
Apr 14, 2025 4:00 AM;Apr 14, 2025 5:00 AM;84.52;68.60;75.70;84.52;84.52;30.01;79.25;48.90;89.51;90.33;2.99;81.92;86.90;-;89.51;90.36;88.58
Apr 14, 2025 5:00 AM;Apr 14, 2025 6:00 AM;97.10;79.77;83.44;88.68;97.10;35.01;88.68;48.62;104.16;99.80;39.59;92.92;99.45;-;97.10;105.95;104.16
Apr 14, 2025 6:00 AM;Apr 14, 2025 7:00 AM;124.34;99.20;97.31;118.17;124.34;42.50;114.59;48.77;123.60;125.06;47.37;124.44;125.00;-;117.00;124.08;124.50
Apr 14, 2025 7:00 AM;Apr 14, 2025 8:00 AM;152.03;126.83;150.52;152.03;152.04;68.19;150.52;51.55;152.03;152.68;56.01;157.40;152.11;-;152.03;153.10;153.49
Apr 14, 2025 8:00 AM;Apr 14, 2025 9:00 AM;143.70;121.59;142.76;143.70;143.72;74.94;143.70;52.85;143.70;144.12;64.00;139.92;144.03;-;144.39;144.39;144.17
Apr 14, 2025 9:00 AM;Apr 14, 2025 10:00 AM;104.70;88.72;98.15;104.70;104.70;37.74;100.06;50.72;110.25;100.93;51.54;109.59;107.54;-;125.00;112.85;112.15
Apr 14, 2025 10:00 AM;Apr 14, 2025 11:00 AM;91.02;78.14;80.93;91.02;91.02;41.70;85.10;49.96;100.06;80.51;48.46;95.18;95.55;-;122.47;102.67;104.00
Apr 14, 2025 11:00 AM;Apr 14, 2025 12:00 PM;77.07;65.83;64.75;77.07;77.07;26.77;70.00;49.52;87.47;67.23;45.55;82.43;76.31;-;122.47;101.78;102.24
Apr 14, 2025 12:00 PM;Apr 14, 2025 1:00 PM;62.35;60.55;60.54;62.35;62.35;52.65;60.84;49.44;82.42;55.19;44.76;75.01;60.49;-;114.01;111.46;97.92
Apr 14, 2025 1:00 PM;Apr 14, 2025 2:00 PM;61.64;55.58;53.41;61.64;61.64;23.51;56.56;49.12;78.18;54.99;43.89;66.83;61.64;-;108.78;88.68;88.41
Apr 14, 2025 2:00 PM;Apr 14, 2025 3:00 PM;64.36;55.08;50.32;64.36;64.36;10.16;56.52;49.21;71.56;62.02;43.80;67.34;66.22;-;112.54;81.98;79.68
Apr 14, 2025 3:00 PM;Apr 14, 2025 4:00 PM;75.29;64.55;60.99;75.29;75.29;20.24;66.44;49.36;81.20;80.33;44.61;80.48;75.80;-;108.76;90.08;89.60
Apr 14, 2025 4:00 PM;Apr 14, 2025 5:00 PM;84.60;73.18;70.09;84.60;84.61;28.12;76.56;49.47;97.01;92.43;47.38;90.13;84.60;-;114.01;108.58;108.44
Apr 14, 2025 5:00 PM;Apr 14, 2025 6:00 PM;97.02;83.26;84.73;91.90;97.02;38.46;88.88;49.64;102.95;102.94;49.25;111.07;99.00;-;113.30;108.94;114.21
Apr 14, 2025 6:00 PM;Apr 14, 2025 7:00 PM;119.35;100.33;99.39;112.40;119.37;36.63;108.30;49.97;125.62;128.80;68.96;129.95;124.29;-;125.00;134.01;145.76
Apr 14, 2025 7:00 PM;Apr 14, 2025 8:00 PM;180.00;144.94;139.00;180.00;180.04;47.02;180.00;50.73;165.43;229.50;76.93;160.46;185.27;-;146.70;172.15;187.40
Apr 14, 2025 8:00 PM;Apr 14, 2025 9:00 PM;140.61;134.97;147.12;140.61;140.80;37.81;148.66;51.01;150.03;219.43;139.14;151.40;158.68;-;147.88;160.36;171.82
Apr 14, 2025 9:00 PM;Apr 14, 2025 10:00 PM;102.83;93.18;95.80;102.83;102.95;35.00;97.81;52.98;107.33;107.51;98.56;118.14;106.12;-;111.84;111.84;115.95
Apr 14, 2025 10:00 PM;Apr 14, 2025 11:00 PM;82.59;75.67;76.19;82.59;82.65;19.75;77.69;51.17;88.77;87.06;80.52;102.60;83.42;-;103.76;93.03;95.81
