Delivery period (CET);High;Low;VWAP;Open;Close;VWAP1H;VWAP3H;Buy Volume (MWh);Sell Volume (MWh);Transaction Volume (MWh);First trade time (CET);Last trade time (CET)
00:00 - 01:00;164,48;-40,86;96,36;93,06;109,70;98,57;97,23;4 202,4;4 257,9;5 304,9;18.04.2025 15:20:38;19.04.2025 00:39:19
01:00 - 02:00;200,00;16,11;91,76;80,15;90,01;100,77;94,38;4 210,4;4 379,7;5 418,8;18.04.2025 15:20:16;19.04.2025 01:39:55
02:00 - 03:00;124,99;-191,49;87,34;82,14;80,66;86,02;88,34;4 062,3;4 104,1;5 364,0;18.04.2025 15:20:38;19.04.2025 02:39:53
03:00 - 04:00;131,50;-101,49;83,99;95,28;67,80;78,09;84,02;4 104,2;3 873,5;5 298,2;18.04.2025 15:20:06;19.04.2025 03:39:55
04:00 - 05:00;105,48;-161,63;86,53;82,59;88,00;84,18;86,06;4 137,9;3 859,4;5 490,8;18.04.2025 15:20:38;19.04.2025 04:39:51
05:00 - 06:00;125,99;-179,00;87,84;90,45;101,03;83,76;85,27;3 856,3;3 676,3;4 860,2;18.04.2025 15:20:37;19.04.2025 05:39:43
06:00 - 07:00;743,99;-0,04;100,83;106,72;154,00;109,15;102,84;4 135,0;4 122,1;5 223,8;18.04.2025 15:11:03;19.04.2025 06:39:59
07:00 - 08:00;517,79;-3,65;103,26;93,40;60,00;121,11;107,72;5 136,6;5 096,2;6 655,2;18.04.2025 15:20:00;19.04.2025 07:39:59
08:00 - 09:00;132,89;-14,98;81,19;87,49;-4,56;65,76;79,01;7 578,6;7 382,4;9 523,8;18.04.2025 15:08:44;19.04.2025 08:39:59
09:00 - 10:00;176,99;-13,44;71,52;78,40;3,25;55,66;70,81;10 478,5;11 088,3;13 252,4;18.04.2025 15:20:05;19.04.2025 09:39:49
10:00 - 11:00;123,08;-101,81;44,49;43,30;-36,02;27,74;42,93;12 287,2;13 221,1;16 787,5;18.04.2025 15:20:02;19.04.2025 10:39:22
11:00 - 12:00;160,25;-153,20;27,63;5,51;78,45;17,28;23,55;14 109,2;14 389,5;19 451,1;18.04.2025 15:20:00;19.04.2025 11:39:50
12:00 - 13:00;299,52;-19,73;19,68;11,32;103,90;44,00;21,99;14 225,6;14 002,4;18 287,6;18.04.2025 15:20:05;19.04.2025 12:39:44
13:00 - 14:00;208,88;-110,15;18,54;9,19;4,50;45,98;24,07;15 043,9;13 919,7;19 128,8;18.04.2025 15:58:13;19.04.2025 13:39:50
14:00 - 15:00;105,00;-510,00;7,50;-5,24;-8,10;-0,82;10,83;14 582,7;13 476,9;18 176,3;18.04.2025 16:00:30;19.04.2025 14:39:43
15:00 - 16:00;206,45;-58,49;18,40;0,75;27,99;33,85;26,27;14 975,6;13 847,4;18 893,6;18.04.2025 15:21:18;19.04.2025 15:39:53
16:00 - 17:00;89,95;-99,51;23,36;8,84;37,00;30,64;28,65;14 536,0;13 315,4;18 946,1;18.04.2025 15:20:26;19.04.2025 16:39:59
17:00 - 18:00;144,89;-83,89;65,58;62,24;79,30;55,89;61,90;11 762,0;11 296,4;15 107,3;18.04.2025 15:20:00;19.04.2025 17:39:29
18:00 - 19:00;2 001,00;-6 997,41;94,90;69,62;85,43;93,70;91,97;9 614,7;9 382,1;12 110,9;18.04.2025 15:21:41;19.04.2025 18:39:23
19:00 - 20:00;330,07;-46,50;113,79;141,97;135,00;104,88;108,41;8 114,5;8 776,8;10 335,4;18.04.2025 15:02:03;19.04.2025 19:39:52
20:00 - 21:00;385,62;-31,81;132,67;131,68;87,69;146,53;136,25;7 706,4;8 686,8;10 144,0;18.04.2025 15:27:55;19.04.2025 20:39:45
21:00 - 22:00;321,02;71,55;124,88;115,62;85,84;129,58;128,09;8 063,3;8 557,1;11 068,0;18.04.2025 15:11:57;19.04.2025 21:39:45
22:00 - 23:00;261,58;-50,50;111,82;107,62;52,00;118,14;115,29;6 956,0;7 474,9;9 127,2;18.04.2025 15:33:18;19.04.2025 22:39:58
23:00 - 00:00;159,00;-49,86;99,98;93,88;88,42;95,33;102,16;6 882,2;7 208,5;9 422,5;18.04.2025 15:43:52;19.04.2025 23:39:12
